y,x,char,value
10,19,-,0.01019420474767685
10,20,-,0.02172216586768627
10,21,-,0.04155735671520233
10,22,-,0.04635036364197731
10,23,-,0.07801836729049683
10,24,-,0.03323101997375488
10,25,-,0.01849362440407276
10,26,-,0.01164911687374115
10,27,-,0.006928248796612024
10,28,-,0.008399436250329018
10,29,-,0.03418731316924095
10,30,-,0.07224176079034805
10,31,-,0.01831956021487713
10,32,-,0.01239731628447771
10,33,-,1.642587423324585
10,34,-,0.2820947766304016
10,35,-,0.020445270463824272
10,36,-,0.024676356464624405
10,37,-,0.07972485572099686
10,38,-,0.02127133496105671
10,39,-,0.019192930310964584
10,40,-,0.056581925600767136
10,41,-,0.2149001955986023
10,42,-,0.15828295052051544
10,43,-,0.14737261831760406
10,44,-,0.0
10,45,-,0.0
10,46,-,0.0
10,47,-,0.0
10,48,-,0.0
10,49,-,0.0
10,50,-,0.0
10,51,-,0.0
10,52,-,0.0
10,53,-,0.0
10,54,-,0.0
10,55,-,0.0
10,56,-,0.0
10,57,-,0.0
10,58,-,0.0
10,59,-,0.0
10,60,-,0.0
10,61,-,0.0
10,62,-,0.0
10,63,-,0.0
10,64,-,0.0
10,65,-,0.0
10,66,-,0.0
10,67,-,0.0
10,68,-,0.0
10,69,-,0.0
10,70,-,0.0
10,71,-,0.0
10,72,-,0.0
10,73,-,0.0
10,74,-,0.0
10,75,-,0.0
10,76,-,0.0
10,77,-,0.0
10,78,-,0.0
10,79,-,0.0
10,80,-,0.0
10,81,-,0.0
10,82,-,0.0
10,83,-,0.0
10,84,-,0.0
10,85,-,0.0
10,86,-,0.0
10,87,-,0.0
10,88,-,0.0
10,89,-,0.0
10,90,-,0.0
10,91,-,0.0
10,92,-,0.0
10,93,-,0.0
10,94,-,0.0
10,95,-,0.0
10,96,-,0.0
10,97,-,0.0
10,98,-,0.0
10,99,-,0.0
11,0,-,0.05269305408000946
11,1,-,0.03072449006140232
11,2,-,0.01718582585453987
11,3,-,0.011619839817285538
11,4,-,0.14386148750782013
11,5,-,0.016856133937835693
11,6,-,0.004232900682836771
11,7,-,0.00862540490925312
11,8,-,0.0052391523495316505
11,9,-,0.0036327869165688753
11,10,-,0.005521019455045462
11,11,-,0.007818828336894512
11,12,-,0.007945995777845383
11,13,-,0.009908474050462246
11,14,-,0.01018040906637907
11,15,-,0.014372643083333969
11,16,-,0.027710720896720886
11,17,-,0.01675228960812092
11,18,-,0.010055968537926674
11,19,-,0.010005863383412361
11,20,-,0.033811911940574646
11,21,-,0.0525018684566021
11,22,-,0.04551883786916733
11,23,-,0.0382130928337574
11,24,-,0.032294824719429016
11,25,-,0.029692338779568672
11,26,-,0.01961565762758255
11,27,-,0.008328257128596306
11,28,-,0.012754854746162891
11,29,-,0.06496050953865051
11,30,-,0.009382607415318489
11,31,-,0.01244348008185625
11,32,-,0.02057638019323349
11,33,-,0.33452308177948
11,34,-,0.48541921377182007
11,35,-,0.03760726377367973
11,36,-,0.04684022441506386
